                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.38429,                0.48712,                0.28768,                0.85299,                0.98703,                0.99413,                0.99471,                0.95987,                0.98703,                0.99413,                0.99471,                0.83972,                0.29462,                0.37258,                0.21142,                0.80622,             0.00087484,             0.00087484,             0.00087484
                     26,                0.38391,                0.50219,                0.28635,                0.85354,                0.99321,                0.99453,                0.99491,                0.96168,                0.99321,                0.99453,                0.99491,                0.84814,                0.28782,                0.34883,                 0.2076,                0.80413,             0.00084184,             0.00084184,             0.00084184
                     27,                0.38003,                0.48377,                0.28104,                0.85416,                0.99446,                0.99818,                0.99497,                0.96496,                0.99446,                0.99818,                0.99497,                0.85532,                0.28514,                0.33862,                0.20601,                0.80129,             0.00080883,             0.00080883,             0.00080883
                     28,                0.38801,                 0.4947,                0.28383,                0.85438,                0.99611,                0.99392,                0.99491,                0.96167,                0.99611,                0.99392,                0.99491,                0.83852,                0.30679,                 0.3527,                0.20998,                0.81071,             0.00077582,             0.00077582,             0.00077582
                     29,                0.36927,                0.47796,                 0.2701,                0.85146,                0.99096,                0.99696,                0.99467,                0.96339,                0.98994,                0.99594,                0.99435,                0.82852,                0.28882,                0.35642,                0.20849,                0.80616,             0.00074282,             0.00074282,             0.00074282
                     30,                 0.3714,                0.48642,                0.27204,                0.85238,                0.99543,                0.99378,                0.99492,                0.96662,                0.99543,                0.99378,                0.99492,                0.83776,                0.28314,                0.35994,                0.19415,                0.80375,             0.00070981,             0.00070981,             0.00070981
                     31,                 0.3605,                0.46851,                0.26474,                0.84655,                0.99739,                0.99696,                0.99497,                0.97081,                0.99739,                0.99696,                0.99497,                0.84257,                0.27246,                0.36026,                0.19392,                0.80068,              0.0006768,              0.0006768,              0.0006768
                     32,                0.36029,                0.46754,                0.26544,                0.84991,                0.99433,                0.99562,                0.99495,                0.97057,                0.99433,                0.99562,                0.99495,                 0.8489,                0.28237,                0.34448,                0.18889,                0.80093,              0.0006438,              0.0006438,              0.0006438
                     33,                0.35594,                0.46905,                0.25986,                0.85124,                0.99695,                0.99384,                0.99473,                0.97351,                0.99695,                0.99384,                0.99473,                0.85158,                0.26072,                0.33778,                0.18098,                0.79863,             0.00061079,             0.00061079,             0.00061079
                     34,                 0.3522,                0.45834,                0.25741,                0.84824,                0.99685,                0.99453,                 0.9949,                  0.969,                0.99583,                0.99351,                0.99406,                0.84377,                0.26776,                0.34138,                0.18232,                0.80162,             0.00057778,             0.00057778,             0.00057778
                     35,                0.35305,                0.45923,                0.25589,                  0.851,                0.99575,                0.99696,                0.99497,                0.96905,                0.99575,                0.99696,                0.99497,                0.84074,                0.25674,                0.35058,                0.18473,                0.79838,             0.00054478,             0.00054478,             0.00054478
                     36,                0.34216,                0.44599,                0.25028,                0.84412,                0.99817,                0.99584,                0.99496,                0.97343,                0.99817,                0.99584,                0.99496,                0.84811,                0.24724,                0.33877,                 0.1806,                0.79442,             0.00051177,             0.00051177,             0.00051177
                     37,                0.34395,                0.45431,                0.25159,                0.84537,                0.99244,                0.99939,                0.99494,                0.97584,                0.99244,                0.99939,                0.99494,                0.85212,                0.25256,                0.33717,                0.17704,                0.79549,             0.00047876,             0.00047876,             0.00047876
                     38,                0.33886,                0.45351,                0.24537,                0.84533,                0.99776,                0.99514,                0.99494,                0.97616,                0.99776,                0.99514,                0.99494,                0.85361,                0.24256,                0.32984,                0.17324,                0.79152,             0.00044576,             0.00044576,             0.00044576
                     39,                0.32818,                0.43355,                0.24094,                0.84179,                  0.997,                0.99536,                0.99496,                0.97619,                  0.997,                0.99536,                0.99496,                0.85147,                0.26288,                0.34158,                0.17485,                 0.7984,             0.00041275,             0.00041275,             0.00041275
                     40,                0.33083,                0.44721,                0.24156,                0.84332,                 0.9968,                0.99696,                0.99498,                0.97897,                 0.9968,                0.99696,                0.99498,                0.86243,                0.23789,                0.32783,                0.16543,                0.79056,             0.00037974,             0.00037974,             0.00037974
                     41,                0.26972,                0.33731,                0.19918,                0.80634,                  0.997,                0.99314,                0.99494,                0.97489,                  0.997,                0.99314,                0.99494,                0.86179,                0.24001,                0.32218,                0.17302,                0.79289,             0.00034674,             0.00034674,             0.00034674
                     42,                0.26584,                0.33597,                0.19204,                 0.8047,                0.99565,                0.99514,                0.99497,                0.97703,                0.99565,                0.99514,                0.99497,                0.85103,                0.24182,                0.33749,                0.17175,                0.79099,             0.00031373,             0.00031373,             0.00031373
                     43,                0.25855,                 0.3314,                0.18688,                0.80133,                0.99753,                0.99566,                0.99498,                0.97699,                0.99753,                0.99566,                0.99498,                0.85925,                0.24547,                0.32447,                0.16574,                0.79302,             0.00028072,             0.00028072,             0.00028072
                     44,                0.25071,                 0.3248,                 0.1821,                 0.7965,                0.99757,                0.99559,                0.99498,                0.97943,                0.99757,                0.99559,                0.99498,                0.85457,                0.23487,                 0.3255,                0.16041,                0.78949,             0.00024772,             0.00024772,             0.00024772
                     45,                0.24664,                0.32123,                0.17531,                0.79783,                0.99787,                0.99575,                0.99497,                0.98154,                0.99787,                0.99575,                0.99497,                0.86729,                0.22608,                0.31418,                0.15481,                 0.7876,             0.00021471,             0.00021471,             0.00021471
                     46,                0.23955,                0.32195,                0.17103,                0.79643,                0.99799,                0.99575,                0.99498,                0.98127,                0.99799,                0.99575,                0.99498,                0.87108,                0.23043,                0.31184,                0.15329,                0.78876,              0.0001817,              0.0001817,              0.0001817
                     47,                0.23622,                0.31834,                0.16557,                0.79128,                0.99278,                0.99914,                0.99489,                0.98138,                0.99278,                0.99914,                0.99489,                0.86779,                0.21794,                0.32427,                0.14672,                0.78488,              0.0001487,              0.0001487,              0.0001487
                     48,                0.23266,                0.32021,                0.16206,                0.79514,                0.99915,                0.99514,                0.99499,                0.98213,                0.99915,                0.99514,                0.99499,                0.86257,                0.22532,                0.31848,                0.14675,                0.78627,             0.00011569,             0.00011569,             0.00011569
                     49,                0.23002,                0.32168,                0.15945,                 0.7924,                0.99771,                0.99501,                0.99489,                0.98223,                0.99771,                0.99501,                0.99489,                0.86716,                0.21486,                0.31511,                0.14471,                0.78409,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                0.22661,                0.31707,                0.15709,                0.79059,                0.99771,                0.99483,                0.99497,                0.98265,                0.99771,                0.99483,                0.99497,                0.86859,                0.21196,                0.31111,                0.14138,                0.78299,             4.9677e-05,             4.9677e-05,             4.9677e-05
